fecha,demanda
2011-01-24,162384638.64999998
2011-01-25,166316635.8
2011-01-26,164276360.17999998
2011-01-27,164642528.52999997
2011-01-28,163257868.33
2011-01-29,155348595.79999998
2011-01-30,138387986.22000003
2011-01-31,162638216.54
2011-02-01,164541050.85999998
2011-02-02,165937167.92999998
2011-02-03,168737315.82000005
2011-02-04,168020013.01000005
2011-02-05,158925195.67999998
2011-02-06,140719529.79
2011-02-07,161739783.25
2011-02-08,163797187.22000003
2011-02-09,164205751.96
2011-02-10,164204385.57000002
2011-02-11,165002916.76000002
2011-02-12,153856843.96000004
2011-02-13,137067576.97
2011-02-14,156208973.01000002
2011-02-15,159960470.13999996
2011-02-16,159315683.13000003
2011-02-17,156163134.58
2011-02-18,156322635.33999997
2011-02-19,149164680.94
2011-02-20,131669718.63
2011-02-21,157716387.71000004
2011-02-22,162898440.11
2011-02-23,161802059.21999997
2011-02-24,159801201.75
2011-02-25,159272954.61999997
2011-02-26,151456431.47
2011-02-27,132649256.49
2011-02-28,156323466.73
2011-03-01,158986009.21999997
2011-03-02,162170062.54000002
2011-03-03,161188231.24999997
2011-03-04,162503576.48000002
2011-03-05,154382216.68
2011-03-06,139529064.91
2011-03-07,162283161.41
2011-03-08,163489539.85999998
2011-03-09,163553807.96000004
2011-03-10,161649175.19000003
2011-03-11,164315046.75
2011-03-12,157186625.52
2011-03-13,139292279.74999997
2011-03-14,166620996.06999996
2011-03-15,166788016.16
2011-03-16,167706428.95999998
2011-03-17,166550135.65000004
2011-03-18,169396246.02999997
2011-03-19,153591886.90000004
2011-03-20,136245690.35000002
2011-03-21,139675913.76000002
2011-03-22,161077258.95999998
2011-03-23,160934477.26
2011-03-24,164981364.80999994
2011-03-25,166788475.36999997
2011-03-26,159180450.47
2011-03-27,143313570.81999996
2011-03-28,168743847.61
2011-03-29,172170503.70999998
2011-03-30,172054322.24000004
2011-03-31,169635551.16000003
2011-04-01,168870171.53999996
2011-04-02,156792437.74999997
2011-04-03,141544560.66
2011-04-04,166693614.53
2011-04-05,168303422.7
2011-04-06,163063822.26999998
2011-04-07,162335690.04999998
2011-04-08,161993799.21
2011-04-09,153018419.25000003
2011-04-10,133857044.3
2011-04-11,158536756.88000003
2011-04-12,160705362.63000003
2011-04-13,159958774.13000003
2011-04-14,161256940.5
2011-04-15,161121722.65999997
2011-04-16,150346200.89
2011-04-17,137979622.78000003
2011-04-18,157712135.89
2011-04-19,155965153.76
2011-04-20,154160828.39999998
2011-04-21,130165658.9
2011-04-22,118210996.27000001
2011-04-23,132959527.24000001
2011-04-24,128762042.18999998
2011-04-25,155279855.23999998
2011-04-26,158036833.42999995
2011-04-27,164355184.13
2011-04-28,160343505.43999997
2011-04-29,162450888.92999998
2011-04-30,152528073.75
2011-05-01,137861829.41
2011-05-02,158372123.59
2011-05-03,160142776.09000003
2011-05-04,161056199.68000004
2011-05-05,162126044.73000002
2011-05-06,164768557.67000002
2011-05-07,155554501.27
2011-05-08,135020920.33
2011-05-09,161694614.22999996
2011-05-10,164292439.96
2011-05-11,164185021.81999993
2011-05-12,164957637.87000003
2011-05-13,162626204.29999998
2011-05-14,150506722.58
2011-05-15,136910367.34
2011-05-16,158557855.1
2011-05-17,160304879.26999998
2011-05-18,159886238.06
2011-05-19,160756726.03
2011-05-20,162345302.04
2011-05-21,152270875.05999997
2011-05-22,132655292.43000002
2011-05-23,157965236.98000002
2011-05-24,162511821.5
2011-05-25,160819546.93999997
2011-05-26,162899753.67000002
2011-05-27,160443308.97000003
2011-05-28,148619533.48000002
2011-05-29,133087480.69
2011-05-30,161016351.00000003
2011-05-31,161616044.08
2011-06-01,158514943.9
2011-06-02,158726714.86
2011-06-03,158353121.77
2011-06-04,148913651.55
2011-06-05,130373233.20999998
2011-06-06,134676461.26000002
2011-06-07,157924837.61999997
2011-06-08,161552561.23999998
2011-06-09,162495749.61999997
2011-06-10,165948856.01000002
2011-06-11,154310196.77000004
2011-06-12,139356499.75999996
2011-06-13,165305244.05000004
2011-06-14,167389559.0
2011-06-15,166595202.78
2011-06-16,162174304.01999998
2011-06-17,164047076.97
2011-06-18,154266347.19
2011-06-19,132788432.19999999
2011-06-20,161223745.27000004
2011-06-21,165378305.45000002
2011-06-22,166950100.58999997
2011-06-23,163803127.5
2011-06-24,160293402.56
2011-06-25,151025845.82000002
2011-06-26,131437138.70999998
2011-06-27,135595967.9
2011-06-28,160982429.35
2011-06-29,165024465.45999998
2011-06-30,162235484.18
2011-07-01,158636909.82000002
2011-07-02,147979393.26999998
2011-07-03,129646803.91
2011-07-04,132371618.93999998
2011-07-05,157394958.97000003
2011-07-06,161704589.96000004
2011-07-07,159880830.56000003
2011-07-08,161998589.38000003
2011-07-09,152776671.49
2011-07-10,136257397.15
2011-07-11,161736311.1
2011-07-12,164503646.68
2011-07-13,160338932.01999998
2011-07-14,157710115.86
2011-07-15,157699685.60999998
2011-07-16,150170051.3
2011-07-17,134082688.14999998
2011-07-18,159114387.04999998
