fecha,vol_util
2010-10-02,10307986899.8
2010-10-03,10331148657.4
2010-10-04,10420054139.2
2010-10-05,10504785776.4
2010-10-06,10566792726.3
2010-10-07,10583962503.4
2010-10-08,10633369479.1
2010-10-09,10637079601.0
2010-10-10,10649960621.3
2010-10-11,10637793693.6
2010-10-12,10612943011.5
2010-10-13,10575610681.2
2010-10-14,10544204376.6
2010-10-15,10522733404.2
2010-10-16,10520757431.6
2010-10-17,10530193152.6
2010-10-18,10549217768.9
2010-10-19,10564326863.3
2010-10-20,10570416651.8
2010-10-21,10567531669.8
2010-10-22,10571965156.5
2010-10-23,10610158545.2
2010-10-24,10634667051.3
2010-10-25,10628274127.0
2010-10-26,10614160219.9
2010-10-27,10599166428.1
2010-10-28,10589935629.5
2010-10-29,10621180027.0
2010-10-30,10668165249.6
2010-10-31,10741980320.8
2010-11-01,10829151148.7
2010-11-02,10936453805.7
2010-11-03,10997439543.4
2010-11-04,11003457983.6
2010-11-05,11006875435.4
2010-11-06,11072658158.7
2010-11-07,11149902417.6
2010-11-08,11231985294.0
2010-11-09,11298848607.0
2010-11-10,11377464981.8
2010-11-11,11439896707.8
2010-11-12,11503156123.9
2010-11-13,11592726913.9
2010-11-14,11722720399.3
2010-11-15,11851167125.6
2010-11-16,11939465896.2
2010-11-17,12075215749.4
2010-11-18,12101474221.1
2010-11-19,12111659926.6
2010-11-20,12123374445.6
2010-11-21,12135383645.6
2010-11-22,12126356973.4
2010-11-23,12101518499.7
2010-11-24,12119839479.5
2010-11-25,12106758878.0
2010-11-26,12089376211.3
2010-11-27,12112550048.0
2010-11-28,12145696119.5
2010-11-29,12176968701.2
2010-11-30,12189941739.1
2010-12-01,12182922463.9
2010-12-02,12223605539.8
2010-12-03,12266194293.5
2010-12-04,12298926129.8
2010-12-05,12330756582.3
2010-12-06,12306343966.8
2010-12-07,12299162433.0
2010-12-08,12337910691.3
2010-12-09,12339742332.3
2010-12-10,12340666432.2
2010-12-11,12323462832.5
2010-12-12,12312068111.2
2010-12-13,12304501273.4
2010-12-14,12299846441.4
2010-12-15,12318376849.7
2010-12-16,12297964875.3
2010-12-17,12264897733.7
2010-12-18,12234784665.3
2010-12-19,12221918300.6
2010-12-20,12181964220.3
2010-12-21,12134382478.6
2010-12-22,12086969536.8
2010-12-23,12044362216.8
2010-12-24,12017522254.0
2010-12-25,12012528019.1
2010-12-26,12108442482.6
2010-12-27,12112465512.7
2010-12-28,12083193616.2
2010-12-29,12038694979.5
2010-12-30,11999315489.8
2010-12-31,11957096845.8
2011-01-01,11921355640.0
2011-01-02,11898385253.4
2011-01-03,11857529303.8
2011-01-04,11838528640.8
2011-01-05,11824856512.3
2011-01-06,11762023378.9
2011-01-07,11722304080.5
2011-01-08,11675552227.2
2011-01-09,11678514354.0
2011-01-10,11650507655.7
