codigo_recurso,tipo_generacion,combustible,estado
3F81,SOLAR,RAD SOLAR,OPERACION
3F83,SOLAR,RAD SOLAR,OPERACION
3F8W,SOLAR,RAD SOLAR,OPERACION
3F9S,SOLAR,RAD SOLAR,OPERACION
3F9U,SOLAR,RAD SOLAR,OPERACION
3FC7,SOLAR,RAD SOLAR,OPERACION
3FC9,SOLAR,RAD SOLAR,OPERACION
3FCB,SOLAR,RAD SOLAR,OPERACION
3FCD,SOLAR,RAD SOLAR,OPERACION
3FCF,SOLAR,RAD SOLAR,OPERACION
3FD6,SOLAR,RAD SOLAR,OPERACION
3FD8,SOLAR,RAD SOLAR,OPERACION
3FEI,SOLAR,RAD SOLAR,OPERACION
3FEK,SOLAR,RAD SOLAR,OPERACION
3GFD,SOLAR,RAD SOLAR,OPERACION
3GFI,SOLAR,RAD SOLAR,OPERACION
3GFK,SOLAR,RAD SOLAR,OPERACION
3GFM,SOLAR,RAD SOLAR,OPERACION
3GFO,SOLAR,RAD SOLAR,OPERACION
3GFQ,SOLAR,RAD SOLAR,OPERACION
3GHQ,SOLAR,RAD SOLAR,OPERACION
3GI4,SOLAR,RAD SOLAR,OPERACION
3GI6,SOLAR,RAD SOLAR,OPERACION
3GI8,SOLAR,RAD SOLAR,OPERACION
3GJQ,SOLAR,RAD SOLAR,OPERACION
3GJS,SOLAR,RAD SOLAR,OPERACION
3GJU,TERMICA,BAGAZO,OPERACION
3GPV,SOLAR,RAD SOLAR,OPERACION
3GPX,SOLAR,RAD SOLAR,OPERACION
3GPZ,SOLAR,RAD SOLAR,OPERACION
3GRD,SOLAR,RAD SOLAR,OPERACION
3GSD,SOLAR,RAD SOLAR,OPERACION
3GSF,SOLAR,RAD SOLAR,OPERACION
3GTQ,SOLAR,RAD SOLAR,OPERACION
3GTS,SOLAR,RAD SOLAR,OPERACION
3GTU,SOLAR,RAD SOLAR,OPERACION
3GUT,SOLAR,RAD SOLAR,OPERACION
3GVE,SOLAR,RAD SOLAR,OPERACION
3GVG,SOLAR,RAD SOLAR,OPERACION
3GVI,SOLAR,RAD SOLAR,OPERACION
3GVK,SOLAR,RAD SOLAR,OPERACION
3GVM,SOLAR,RAD SOLAR,OPERACION
3GWG,SOLAR,RAD SOLAR,OPERACION
3GX5,SOLAR,RAD SOLAR,OPERACION
3GX7,SOLAR,RAD SOLAR,OPERACION
3GZQ,SOLAR,RAD SOLAR,OPERACION
3GZS,SOLAR,RAD SOLAR,OPERACION
3GZU,SOLAR,RAD SOLAR,OPERACION
3H2A,SOLAR,RAD SOLAR,OPERACION
3H2I,SOLAR,RAD SOLAR,OPERACION
3H2U,HIDRAULICA,AGUA,PRUEBAS
3H2W,SOLAR,RAD SOLAR,OPERACION
3H31,SOLAR,RAD SOLAR,OPERACION
3H5W,SOLAR,RAD SOLAR,OPERACION
3H5Y,SOLAR,RAD SOLAR,OPERACION
3H61,SOLAR,RAD SOLAR,OPERACION
3H7S,SOLAR,RAD SOLAR,OPERACION
3H9C,SOLAR,RAD SOLAR,OPERACION
3H9E,SOLAR,RAD SOLAR,OPERACION
3HBJ,SOLAR,RAD SOLAR,OPERACION
3HBL,SOLAR,RAD SOLAR,OPERACION
3HBN,SOLAR,RAD SOLAR,OPERACION
3HBP,SOLAR,RAD SOLAR,OPERACION
3HBR,SOLAR,RAD SOLAR,OPERACION
3HBT,SOLAR,RAD SOLAR,OPERACION
3HDE,HIDRAULICA,AGUA,OPERACION
3HDG,HIDRAULICA,AGUA,OPERACION
3HE4,SOLAR,RAD SOLAR,OPERACION
3HE8,SOLAR,RAD SOLAR,OPERACION
3HF5,SOLAR,RAD SOLAR,PRUEBAS
3HF7,SOLAR,RAD SOLAR,OPERACION
