codigo_recurso,tipo_generacion,combustible,estado
PST1,HIDRAULICA,AGUA,OPERACION
PTA1,HIDRAULICA,AGUA,OPERACION
PTC1,HIDRAULICA,AGUA,OPERACION
PTG1,HIDRAULICA,AGUA,OPERACION
PTR1,TERMICA,GAS,PRUEBAS
QUI1,HIDRAULICA,AGUA,OPERACION
RBB1,HIDRAULICA,AGUA,OPERACION
RCIO,HIDRAULICA,AGUA,OPERACION
RCL1,HIDRAULICA,AGUA,OPERACION
RFR1,HIDRAULICA,AGUA,OPERACION
RFR2,HIDRAULICA,AGUA,OPERACION
RGR1,HIDRAULICA,AGUA,OPERACION
RGRN,HIDRAULICA,AGUA,OPERACION
RMR1,HIDRAULICA,AGUA,OPERACION
RMYO,HIDRAULICA,AGUA,OPERACION
RNG1,HIDRAULICA,AGUA,OPERACION
RPD1,HIDRAULICA,AGUA,OPERACION
RPL1,COGENERADOR,BAGAZO,OPERACION
SBA1,HIDRAULICA,AGUA,OPERACION
SFC1,HIDRAULICA,AGUA,OPERACION
SJM1,HIDRAULICA,AGUA,OPERACION
SJN1,HIDRAULICA,AGUA,OPERACION
SJOG,HIDRAULICA,AGUA,OPERACION
SLO1,TERMICA,GAS,PRUEBAS
SLO2,TERMICA,GAS,PRUEBAS
SLV1,HIDRAULICA,AGUA,OPERACION
SLVJ,HIDRAULICA,AGUA,OPERACION
SMI1,HIDRAULICA,AGUA,OPERACION
SNC1,HIDRAULICA,AGUA,OPERACION
SNCR,HIDRAULICA,AGUA,OPERACION
SNFR,HIDRAULICA,AGUA,OPERACION
SNS1,HIDRAULICA,AGUA,OPERACION
SNT1,HIDRAULICA,AGUA,OPERACION
SOG1,HIDRAULICA,AGUA,OPERACION
SPY1,HIDRAULICA,AGUA,OPERACION
SRA1,HIDRAULICA,AGUA,OPERACION
STG1,HIDRAULICA,AGUA,OPERACION
SUV1,HIDRAULICA,AGUA,OPERACION
TBQ3,TERMICA,GAS,OPERACION
TBQ4,TERMICA,GAS,OPERACION
TBST,TERMICA,GAS,OPERACION
TCBE,TERMICA,GLP,OPERACION
TCDT,TERMICA,GAS,OPERACION
TDR1,TERMICA,JET-A1,OPERACION
TEC1,TERMICA,ACPM,OPERACION
TFL1,TERMICA,GAS,OPERACION
TFL4,TERMICA,GAS,OPERACION
TGJ1,TERMICA,CARBON,OPERACION
TGJ2,TERMICA,CARBON,OPERACION
TMB1,TERMICA,GAS,OPERACION
TMS1,HIDRAULICA,AGUA,OPERACION
TPD1,TERMICA,GAS,OPERACION
TPUY,SOLAR,RAD SOLAR,PRUEBAS
TR2G,SOLAR,RAD SOLAR,OPERACION
TR3G,SOLAR,RAD SOLAR,OPERACION
TRM1,TERMICA,GAS,OPERACION
TRN1,TERMICA,COMBUSTOLEO,OPERACION
TSJ1,TERMICA,CARBON,OPERACION
TSJ2,TERMICA,CARBON,OPERACION
TSR1,TERMICA,ACPM,OPERACION
TUJ1,HIDRAULICA,AGUA,OPERACION
TVL1,TERMICA,ACPM,OPERACION
TYP1,TERMICA,GAS,OPERACION
TYP2,TERMICA,GAS,OPERACION
TYP3,TERMICA,GAS,OPERACION
TYP4,TERMICA,GAS,OPERACION
TYP5,TERMICA,GAS,OPERACION
UNN1,HIDRAULICA,AGUA,OPERACION
URA1,HIDRAULICA,AGUA,OPERACION
USQ1,HIDRAULICA,AGUA,OPERACION
VLT1,HIDRAULICA,AGUA,OPERACION
VNTA,HIDRAULICA,AGUA,OPERACION
VNTB,HIDRAULICA,AGUA,OPERACION
ZPA2,TERMICA,CARBON,OPERACION
ZPA3,TERMICA,CARBON,OPERACION
ZPA4,TERMICA,CARBON,OPERACION
ZPA5,TERMICA,CARBON,OPERACION
