fecha,disp_real_hidraulica,disp_real,disp_real_termica,disponibilidad_real
2012-01-26,420469.73560606065,157000.0,155144.0,268127.5470664088
2012-01-27,421052.9487179487,157000.0,153600.0,267554.4462629569
2012-01-28,421307.3604166667,157000.0,150692.3076923077,263711.4001736111
2012-01-29,416061.5604166667,157000.0,150961.53846153847,261671.48350694447
2012-01-30,418371.9357371795,157000.0,146379.88621794872,260152.41159188034
2012-01-31,401388.5979166667,157000.0,145769.23076923078,252745.24913194447
2012-02-01,410437.8104166667,157000.0,145769.23076923078,256515.75434027778
2012-02-02,410433.2884469697,157000.0,145699.47552447554,256476.0860953283
2012-02-03,410386.2479166667,157000.0,147519.23076923078,257442.18663194447
2012-02-04,416059.2428030303,157000.0,150296.47435897437,261310.2747790404
2012-02-05,419861.45625,157000.0,151017.4825174825,263285.07646780304
2012-02-06,411345.9115530303,157000.0,151122.5879120879,259793.86493281022
2012-02-07,410620.625,157000.0,156178.81944444444,266841.3949275362
2012-02-08,409499.0950757576,157000.0,155935.0,263879.93407479045
2012-02-09,407023.29791666666,157000.0,156000.0,262860.97783687944
2012-02-10,402463.39791666664,157000.0,156000.0,260920.59485815605
2012-02-11,398708.7776785714,157000.0,152819.10833333334,257630.92046605874
2012-02-12,405462.49583333335,157000.0,155840.0,262111.70035460993
2012-02-13,398999.1730769231,157000.0,150816.8016194332,254483.75632591092
2012-02-14,395507.875,157000.0,150791.2087912088,253015.18601190476
2012-02-15,393460.4787878788,157000.0,150851.75961538462,252194.9026199495
2012-02-16,398608.5020833333,157000.0,151400.0,256833.40514184395
2012-02-17,395458.0208333334,157000.0,151400.0,255492.77482269504
2012-02-18,394183.42803030304,157000.0,149713.13461538462,251879.37626262626
2012-02-19,420418.67324561405,157000.0,151117.41346153847,260234.20301418437
2012-02-20,410311.31875,157000.0,151153.84615384616,259379.71614583334
2012-02-21,403191.90132575756,157000.0,151153.84615384616,256413.29221906568
2012-02-22,394795.7994318182,157000.0,151092.80936454848,252881.85483572134
2012-02-23,411774.2708333334,157000.0,151041.1314102564,259928.22569444447
2012-02-24,410940.73509615386,157000.0,155391.66666666666,264204.39082105836
2012-02-25,408249.7755681818,157000.0,155734.08257850242,265578.55420103687
2012-02-26,409491.175,157000.0,143574.65277777778,259774.24275362317
2012-02-27,404454.2625,157000.0,154864.69791666666,263474.73913043475
2012-02-28,385283.85,157000.0,152596.6611111111,253956.45362318843
2012-02-29,390155.1683712121,157000.0,142556.15942028986,253242.11186868686
2012-03-01,391177.98333333334,157000.0,149649.2125490196,252740.21234876927
2012-03-02,407016.23352272727,157000.0,150770.0,260076.0568181818
2012-03-03,404081.8020833333,157000.0,150442.72727272726,258653.28135074145
2012-03-04,409298.50871212117,157000.0,150148.72363636363,260716.77159896842
2012-03-05,407967.35833333334,157000.0,147581.40575396825,261202.19358178054
2012-03-06,411104.41363636364,156000.0,155359.7795138889,266580.93437088275
2012-03-07,408689.70018939395,156000.0,155364.58333333334,265533.5652997365
2012-03-08,410395.36553030304,156000.0,154984.02777777778,266076.608201581
2012-03-09,398750.72708333336,156000.0,155364.58333333334,261212.27264492752
2012-03-10,399600.1455128205,156000.0,155368.05555555556,261583.39659977704
2012-03-11,395786.87083333335,156000.0,155369.79166666666,259926.35688405795
2012-03-12,387634.04262820515,156000.0,154791.18857142856,253924.69291169822
2012-03-13,384409.30416666664,156000.0,149698.61,249843.64539007095
2012-03-14,382870.28509615385,156000.0,150018.27380952382,249358.7775991739
2012-03-15,378411.97291666665,156000.0,150049.6814285714,247478.32966058765
2012-03-16,374063.98541666666,156000.0,148037.0430952381,244557.5699088146
2012-03-17,371036.1458333334,156000.0,154077.49800000002,246482.13546099293
2012-03-18,384535.0,156000.0,154094.4736842105,252235.3583426652
2012-03-19,385477.2208333333,156000.0,153972.97166666668,252571.67464539007
2012-03-20,380596.11041666666,156000.0,153848.74833333335,250428.53014184395
2012-03-21,377540.3729166667,156000.0,154175.0,249301.75443262412
2012-03-22,397319.7766025641,156000.0,154175.0,257718.52195853792
2012-03-23,413698.8875,156000.0,154288.33333333334,264748.640070922
2012-03-24,422846.6835227272,156000.0,153920.74833333335,268445.79529335914
2012-03-25,413838.6886363636,156000.0,154871.415,265118.27973887813
2012-03-26,408231.30119047617,156000.0,154893.63636363635,262743.9772957539
2012-03-27,404430.98333333334,156000.0,154803.0,261078.609929078
2012-03-28,410190.9564393939,156000.0,154875.0,263567.9601869761
2012-03-29,409898.4666666667,156000.0,154875.0,263443.4964539007
2012-03-30,393657.29791666666,156000.0,154611.87159420288,256392.39889762565
2012-03-31,412160.1228070175,156000.0,148371.66666666666,257659.4347826087
2012-04-01,415573.75657894736,156000.0,154871.66666666666,262602.02264492755
2012-04-02,413389.6929824562,156000.0,154871.66666666666,261699.90942028986
2012-04-03,413488.2653508772,156379.1666666667,153701.66666666666,261121.24003623187
2012-04-04,423468.8995215311,156014.5833333333,154871.66666666666,265863.6940052701
2012-04-05,422158.65231259965,157000.0,151185.168997669,260975.08059316568
2012-04-06,422619.4776714514,157000.0,151261.21794871794,261203.44132817537
2012-04-07,419959.71749999997,157000.0,145434.29487179487,260301.79201388892
2012-04-08,421818.75,157000.0,145434.28044871794,261076.38107638888
