fecha,compras_contrato
2011-04-18,165321011.31
2011-04-19,165767301.92
2011-04-20,164208617.95999998
2011-04-21,144618602.82999998
2011-04-22,139964605.99
2011-04-23,149487996.56
2011-04-24,145796888.23
2011-04-25,163331349.03
2011-04-26,166034480.10000002
2011-04-27,167790077.1
2011-04-28,167869704.20999998
2011-04-29,168693243.97
2011-04-30,159293060.23000002
2011-05-01,152523835.63
2011-05-02,173028605.54000002
2011-05-03,173871116.59000003
2011-05-04,174176029.49
2011-05-05,175367474.95
2011-05-06,175491721.85
2011-05-07,168726115.81999996
2011-05-08,154382381.19000003
2011-05-09,174476136.34
2011-05-10,175871705.82999998
2011-05-11,175744731.74
2011-05-12,175699580.39000002
2011-05-13,174420418.98999995
2011-05-14,166704324.57
2011-05-15,154439648.5
2011-05-16,171538899.99
2011-05-17,174590698.42
2011-05-18,174875568.14000002
2011-05-19,175684242.41
2011-05-20,175974250.41
2011-05-21,169781816.22
2011-05-22,155246797.61
2011-05-23,174547216.30000004
2011-05-24,176824197.41000003
2011-05-25,175477997.82000002
2011-05-26,175646090.14000002
2011-05-27,175593902.21000004
2011-05-28,167347715.89000002
2011-05-29,155194884.35
2011-05-30,175001504.20999995
2011-05-31,176028989.89000002
2011-06-01,177509298.36
2011-06-02,177632424.16
2011-06-03,178161516.94000003
2011-06-04,170741756.51000002
2011-06-05,156515162.22
2011-06-06,159171799.95000002
2011-06-07,178044079.10999998
2011-06-08,179583203.06000006
2011-06-09,178869116.89
2011-06-10,180314817.5
2011-06-11,173591936.28999996
2011-06-12,161567079.19
2011-06-13,182525373.32
2011-06-14,184277170.75999996
2011-06-15,184032558.52999997
2011-06-16,181895334.41
2011-06-17,183267551.52
2011-06-18,173938078.14000005
2011-06-19,157880083.85
2011-06-20,180879257.31999996
2011-06-21,182151436.26999995
2011-06-22,182667211.68999997
2011-06-23,181077705.85999998
2011-06-24,179811505.29
2011-06-25,172669359.1
2011-06-26,158691398.56
2011-06-27,161020555.51
2011-06-28,179647809.31999996
2011-06-29,181919845.61999997
2011-06-30,180134151.26999998
2011-07-01,177706422.86999997
2011-07-02,169331352.23
2011-07-03,155980801.85000002
2011-07-04,158055003.81999996
2011-07-05,177336663.65000004
2011-07-06,179360395.04999995
2011-07-07,177948596.76000002
2011-07-08,178651383.48
2011-07-09,170774853.16000003
2011-07-10,159742442.95
2011-07-11,179659016.80999997
2011-07-12,180887958.51000002
2011-07-13,180453019.67000005
2011-07-14,178977215.57999998
2011-07-15,179827071.57
2011-07-16,172464352.66
2011-07-17,159479094.53
2011-07-18,178966045.61000004
2011-07-19,181072074.72
2011-07-20,165753070.66
2011-07-21,180814884.63
2011-07-22,181958394.50000003
2011-07-23,172675559.12
2011-07-24,161016273.27999997
2011-07-25,180667703.47
2011-07-26,181421936.94
2011-07-27,182410287.51
2011-07-28,182444189.88000003
2011-07-29,180970765.10000005
2011-07-30,170500796.55999997
2011-07-31,158832060.52
2011-08-01,178622524.92999998
2011-08-02,180711123.40999997
2011-08-03,181438435.38
2011-08-04,181267718.51999995
2011-08-05,181515779.85999995
2011-08-06,173870713.00999996
2011-08-07,160743160.54
2011-08-08,184064509.14
2011-08-09,184814733.96
2011-08-10,185442709.95
2011-08-11,184572737.65
2011-08-12,185050948.65
2011-08-13,175085575.37999997
2011-08-14,159207610.37999997
2011-08-15,162162114.26000002
2011-08-16,182970487.23
2011-08-17,182766877.32000002
2011-08-18,182375631.24
