fecha,ventas_bolsa
2011-05-18,45839841.39
2011-05-19,44429014.3
2011-05-20,49091653.19
2011-05-21,47881705.480000004
2011-05-22,42798860.43000001
2011-05-23,45996377.64999999
2011-05-24,44063769.72
2011-05-25,47647045.510000005
2011-05-26,47658363.61
2011-05-27,49522922.58000001
2011-05-28,45696727.620000005
2011-05-29,44337616.03
2011-05-30,50090375.690000005
2011-05-31,48451767.24000001
2011-06-01,45114213.44
2011-06-02,41282051.73000001
2011-06-03,47566076.82999999
2011-06-04,47495752.02000001
2011-06-05,43311946.21
2011-06-06,43160764.08
2011-06-07,42476541.69
2011-06-08,43591637.82
2011-06-09,44449077.20000001
2011-06-10,44459405.290000014
2011-06-11,43103453.42
2011-06-12,40397240.660000004
2011-06-13,40331967.849999994
2011-06-14,41936678.42999999
2011-06-15,39171464.65
2011-06-16,38935272.63
2011-06-17,39805155.04
2011-06-18,43676729.45
2011-06-19,36750860.93
2011-06-20,39031136.61
2011-06-21,40501731.21
2011-06-22,43826126.57
2011-06-23,44361598.019999996
2011-06-24,43708051.13
2011-06-25,39481395.169999994
2011-06-26,44696626.4
2011-06-27,37793259.90999999
2011-06-28,44540740.61
2011-06-29,40810863.669999994
2011-06-30,44606680.87
2011-07-01,49118456.279999994
2011-07-02,43759644.53
2011-07-03,42573220.7
2011-07-04,43203231.01
2011-07-05,43312390.28000001
2011-07-06,46219817.699999996
2011-07-07,45610676.999999985
2011-07-08,42859556.82
2011-07-09,46792788.36
2011-07-10,46690462.029999994
2011-07-11,45891895.28000001
2011-07-12,47175834.50000001
2011-07-13,43284754.599999994
2011-07-14,43995332.8
2011-07-15,43201959.099999994
2011-07-16,46788789.07
2011-07-17,51606729.359999985
2011-07-18,51490428.82
2011-07-19,49176954.67999999
2011-07-20,51196451.67000001
2011-07-21,50684941.66000001
2011-07-22,50147682.29999999
2011-07-23,48220448.24999999
2011-07-24,48057567.41999999
2011-07-25,50020821.29
2011-07-26,50286962.68000001
2011-07-27,45320922.519999996
2011-07-28,45520703.77
2011-07-29,46801562.31999999
2011-07-30,42307429.68
2011-07-31,42128516.15
2011-08-01,39787012.800000004
2011-08-02,40825253.779999994
2011-08-03,44707474.51
2011-08-04,42850582.830000006
2011-08-05,47272062.65000001
2011-08-06,46756859.31999999
2011-08-07,50576220.75
2011-08-08,51408433.29999999
2011-08-09,43463799.59
2011-08-10,42693478.34000001
2011-08-11,44715573.220000006
2011-08-12,35083449.86000001
2011-08-13,36891858.58
2011-08-14,34450219.16
2011-08-15,40111380.029999994
2011-08-16,41127170.15
2011-08-17,38563616.82
2011-08-18,40242544.05
2011-08-19,45976453.24999999
2011-08-20,39019987.169999994
2011-08-21,39281031.95999999
2011-08-22,44762648.08
2011-08-23,39002025.44000001
2011-08-24,37394830.89
2011-08-25,35379146.14
2011-08-26,35468135.96
2011-08-27,38647378.699999996
2011-08-28,47658233.12
2011-08-29,45315536.980000004
2011-08-30,44805437.48
2011-08-31,44446203.09
2011-09-01,50963918.87
2011-09-02,50250864.42
2011-09-03,56582157.18000001
2011-09-04,55793628.57000001
2011-09-05,48097899.68
2011-09-06,44600359.809999995
2011-09-07,44525856.84
2011-09-08,41377076.61
2011-09-09,46613938.089999996
2011-09-10,48079817.220000006
2011-09-11,52905073.82000001
2011-09-12,44071349.31
2011-09-13,45294631.74999999
2011-09-14,42661377.82000001
2011-09-15,47535855.469999984
2011-09-16,45437173.489999995
2011-09-17,43778758.67000001
2011-09-18,47205337.230000004
2011-09-19,40107232.40999999
2011-09-20,40798847.89
2011-09-21,43780665.64
2011-09-22,45074468.04999999
2011-09-23,43468416.599999994
2011-09-24,45390110.150000006
2011-09-25,46908997.85
2011-09-26,39578369.66
2011-09-27,38880886.370000005
2011-09-28,46891362.269999996
2011-09-29,51033742.11
2011-09-30,42123780.78999999
2011-10-01,42335418.14
2011-10-02,42670033.54
2011-10-03,43810433.75000001
2011-10-04,42787876.56
2011-10-05,39726730.949999996
2011-10-06,47787291.81
2011-10-07,45292213.269999996
2011-10-08,40548267.86000001
2011-10-09,58238307.83
2011-10-10,43744520.16
2011-10-11,38751978.40999999
2011-10-12,41160491.41000001
2011-10-13,42659082.17999999
2011-10-14,41811840.75
2011-10-15,39671489.31000001
2011-10-16,51783056.90999999
2011-10-17,44196927.610000014
2011-10-18,40305439.20000001
2011-10-19,42118831.330000006
2011-10-20,43360642.31999999
2011-10-21,45418962.13
2011-10-22,45196740.349999994
2011-10-23,46697824.44
2011-10-24,42692662.62
2011-10-25,44380670.87000001
2011-10-26,45034474.48
2011-10-27,43363617.86999999
2011-10-28,42423951.87
2011-10-29,40324892.14
2011-10-30,44382417.650000006
2011-10-31,42032841.49000001
2011-11-01,44391431.129999995
2011-11-02,45295491.53999999
2011-11-03,45799743.120000005
2011-11-04,46930628.029999994
2011-11-05,48119006.779999994
2011-11-06,46341860.519999996
2011-11-07,48295767.89000001
2011-11-08,43091186.71000001
2011-11-09,47038902.14
2011-11-10,42885763.57000001
2011-11-11,41362855.09
2011-11-12,42522915.50000001
2011-11-13,41408051.339999996
2011-11-14,46817140.69999999
2011-11-15,45147718.7
2011-11-16,43354885.87999999
2011-11-17,44259043.32
2011-11-18,43062127.95999999
2011-11-19,42092603.75
2011-11-20,41588005.18000001
2011-11-21,47410136.580000006
2011-11-22,43706669.29999999
2011-11-23,48115688.870000005
2011-11-24,49395904.489999995
2011-11-25,44454619.50999999
2011-11-26,47962954.650000006
2011-11-27,43358743.07
2011-11-28,47247567.22
2011-11-29,48370438.54
2011-11-30,48694047.739999995
2011-12-01,51973168.46
2011-12-02,52284689.81000001
2011-12-03,53199302.07
2011-12-04,49607205.81
2011-12-05,53322835.99
2011-12-06,51936898.620000005
2011-12-07,56453138.87
2011-12-08,57988028.10000001
2011-12-09,51908594.190000005
2011-12-10,55417682.599999994
2011-12-11,55020858.05999999
2011-12-12,56659977.00000001
2011-12-13,59297484.80000001
2011-12-14,57254994.919999994
2011-12-15,55880167.36
2011-12-16,57879037.36999998
2011-12-17,50619335.22
2011-12-18,51853205.109999985
2011-12-19,54706440.11999998
2011-12-20,54081321.650000006
2011-12-21,54044920.22
2011-12-22,55005478.18000001
2011-12-23,51713092.56
2011-12-24,53890347.33000001
2011-12-25,62159246.910000004
2011-12-26,59249418.39
2011-12-27,57202099.89999999
2011-12-28,57920972.63999999
2011-12-29,58284421.86
2011-12-30,62697173.43000001
2011-12-31,53882687.64
2012-01-01,53488682.67000001
2012-01-02,57893742.06
2012-01-03,54888298.11
2012-01-04,53848962.660000004
2012-01-05,61533058.59
2012-01-06,61460849.019999996
2012-01-07,56427631.730000004
2012-01-08,62009334.69999999
2012-01-09,60443220.040000014
2012-01-10,55375745.68
2012-01-11,57041918.570000015
2012-01-12,57167558.88000001
2012-01-13,55089195.89
2012-01-14,56959051.120000005
2012-01-15,50669732.91
2012-01-16,50579450.190000005
2012-01-17,54171262.50000001
2012-01-18,49033973.23
2012-01-19,51661780.75999999
2012-01-20,52297749.61
2012-01-21,54111666.35999999
2012-01-22,54045024.54
2012-01-23,50170211.44000001
2012-01-24,52431697.51
2012-01-25,54041896.4
2012-01-26,57291926.02
2012-01-27,56252104.07
2012-01-28,53542573.669999994
2012-01-29,57182585.050000004
2012-01-30,56458067.82
2012-01-31,56862699.910000004
2012-02-01,57202006.01
2012-02-02,59021029.19
2012-02-03,56337039.660000004
2012-02-04,50555882.139999986
2012-02-05,51759203.78000001
2012-02-06,64405641.55
2012-02-07,51833925.940000005
2012-02-08,54479393.27000002
2012-02-09,54248887.67000001
2012-02-10,56582803.860000014
2012-02-11,54622421.91
2012-02-12,54185336.06999999
2012-02-13,54919528.8
2012-02-14,50475232.82
2012-02-15,51715649.629999995
2012-02-16,52929900.870000005
2012-02-17,53617179.16000001
2012-02-18,52063072.559999995
2012-02-19,52517133.86000001
2012-02-20,53207825.81000001
2012-02-21,54716518.56999999
2012-02-22,52888859.81
2012-02-23,55010213.06999999
2012-02-24,55732647.89
2012-02-25,50995947.79999999
2012-02-26,51681185.769999996
2012-02-27,52257856.25999999
2012-02-28,51329949.29
2012-02-29,53336576.83
2012-03-01,55844252.800000004
2012-03-02,56855996.160000004
2012-03-03,56623948.160000004
2012-03-04,51159891.21
2012-03-05,55334929.01
2012-03-06,51621902.66999998
2012-03-07,50750595.419999994
2012-03-08,53673346.25
2012-03-09,51181374.7
2012-03-10,55626635.96999999
2012-03-11,50862707.16999999
2012-03-12,54412608.48
2012-03-13,48744960.88000001
2012-03-14,54013174.80999999
2012-03-15,49891737.52000001
2012-03-16,49565986.82000001
2012-03-17,44887143.43999999
2012-03-18,49804180.56000001
2012-03-19,46419462.78
2012-03-20,48085129.42999999
2012-03-21,46495055.06999999
2012-03-22,47034715.67999999
2012-03-23,50506255.74000002
2012-03-24,51096827.7
2012-03-25,48233334.43000001
2012-03-26,51722995.36
2012-03-27,47129307.71
2012-03-28,54915316.41000001
2012-03-29,48461547.46000001
2012-03-30,52795559.31999999
2012-03-31,48642917.63999999
2012-04-01,46090288.160000004
2012-04-02,52938554.59000001
2012-04-03,45192338.580000006
2012-04-04,45695380.15999999
2012-04-05,52176423.449999996
2012-04-06,46076897.88000001
2012-04-07,50131339.35
2012-04-08,47658556.96000001
2012-04-09,49658268.98
2012-04-10,51833515.389999986
2012-04-11,47841058.19999999
2012-04-12,51803049.570000015
2012-04-13,60658909.10999999
2012-04-14,46751193.60999999
2012-04-15,43393186.169999994
2012-04-16,48244976.07
2012-04-17,50289098.220000006
2012-04-18,51577697.22
2012-04-19,49539823.65
2012-04-20,48242025.779999994
2012-04-21,49226125.2
2012-04-22,48162228.98
2012-04-23,50414562.17
2012-04-24,45219509.46
2012-04-25,51504312.65
2012-04-26,50317460.410000004
2012-04-27,49915713.0
2012-04-28,47618990.52000001
2012-04-29,47019113.66000001
2012-04-30,51760697.10000002
2012-05-01,47537810.44
2012-05-02,44224330.61000001
2012-05-03,45869036.99
2012-05-04,47822155.06
2012-05-05,52334959.31000001
2012-05-06,50229544.98
2012-05-07,55281886.96999998
2012-05-08,58302713.26999999
2012-05-09,58070113.059999995
2012-05-10,58402647.470000006
2012-05-11,52605991.099999994
2012-05-12,48114986.56
2012-05-13,52920794.70999999
2012-05-14,56708965.349999994
2012-05-15,53771406.75999999
2012-05-16,49188583.11999999
2012-05-17,52987386.620000005
2012-05-18,52538340.0
2012-05-19,50039582.17999999
2012-05-20,48641143.2
2012-05-21,49918509.760000005
2012-05-22,52362186.36
2012-05-23,49367215.480000004
2012-05-24,44210348.099999994
2012-05-25,50278762.94
2012-05-26,48813347.89
2012-05-27,46440908.68
2012-05-28,50867108.41
2012-05-29,49785339.86000001
2012-05-30,48579255.18
2012-05-31,49224328.400000006
2012-06-01,47862075.86
2012-06-02,51006516.96000001
2012-06-03,53040258.849999994
2012-06-04,50780321.20000001
2012-06-05,48367012.41999998
2012-06-06,51167526.65
2012-06-07,50727925.00999999
2012-06-08,49594001.2
2012-06-09,55403547.400000006
2012-06-10,50435740.839999996
2012-06-11,51469037.55999999
2012-06-12,51300511.36999999
2012-06-13,48297268.599999994
2012-06-14,52403587.56
2012-06-15,50011905.92
2012-06-16,49117670.989999995
2012-06-17,47965876.150000006
2012-06-18,45357566.14
2012-06-19,45834229.260000005
2012-06-20,46559048.82000001
2012-06-21,42934450.050000004
2012-06-22,46470680.46
2012-06-23,54180904.02
2012-06-24,56300339.40999999
2012-06-25,50518968.379999995
2012-06-26,48053051.489999995
2012-06-27,45790279.69
2012-06-28,45735245.529999994
2012-06-29,44942810.79999999
2012-06-30,52550948.85
2012-07-01,42204298.72
2012-07-02,54159127.72999999
2012-07-03,48575571.12999999
2012-07-04,46199026.42000001
2012-07-05,45440272.76
2012-07-06,50472302.65999998
2012-07-07,45311934.83
2012-07-08,49627120.02999999
2012-07-09,48375014.58
2012-07-10,51025994.1
2012-07-11,53521264.60999999
2012-07-12,50030639.430000015
2012-07-13,53122764.739999995
2012-07-14,51365339.94
2012-07-15,51672916.919999994
2012-07-16,52017553.540000014
