fecha,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada
2015-02-01,317701.92307692306,66109.0,126323.85057471263,204236.44444444444
2015-02-02,329854.1666666667,66109.0,127331.03448275862,209989.22222222222
2015-02-03,312047.75641025644,66109.0,128994.8275862069,203077.27777777778
2015-02-04,321161.53846153844,66109.0,128787.93103448275,206926.58333333334
2015-02-05,311371.4743589744,66109.0,129504.88505747126,203030.75
2015-02-06,330281.73076923075,66109.0,129332.4712643678,211141.8611111111
2015-02-07,316055.76923076925,66109.0,130910.05747126436,205739.77777777778
2015-02-08,320658.3333333334,66109.0,133608.3333333333,209038.3888888889
2015-02-09,307959.6153846154,66109.0,128608.33333333333,201118.94444444444
2015-02-10,310538.14102564106,66109.0,127539.36781609195,201719.6388888889
2015-02-11,313403.5256410256,66109.0,127263.50574712643,202827.97222222222
2015-02-12,309111.85897435894,66109.0,127381.32183908047,201025.19444444444
2015-02-13,302831.41025641025,66109.0,123148.56321839079,196257.83333333334
2015-02-14,325198.39743589744,66109.0,123458.90804597702,206100.19444444444
2015-02-15,336738.46153846156,66109.0,123734.77011494254,211234.22222222222
2015-02-16,323881.08974358975,66109.0,122703.16091954023,205164.08333333334
2015-02-17,320743.26923076925,66109.0,122703.16091954023,203804.3611111111
2015-02-18,329437.5,66109.0,122530.74712643678,207488.52777777778
2015-02-19,324410.2564102564,66109.0,124882.75862068965,206446.8611111111
2015-02-20,324673.07692307694,66109.0,122583.90804597702,205449.6388888889
2015-02-21,321243.58974358975,66109.0,127513.50574712644,206346.16666666666
2015-02-22,311970.8333333334,66109.0,132365.5172413793,204673.1111111111
2015-02-23,319160.07326007326,66109.0,132365.5172413793,207788.4484126984
2015-02-24,321658.4706959707,66109.0,127365.5172413793,206454.42063492065
2015-02-25,313770.6501831502,66109.0,128400.0,203536.3650793651
2015-02-26,307837.5,66109.0,130468.96551724138,201965.33333333334
2015-02-27,323621.1538461539,66109.0,138389.94252873564,212633.3888888889
2015-02-28,333512.5,66109.0,137986.2068965517,216724.5
2015-03-01,322570.9249084249,66109.0,135468.9655172414,210766.48412698414
2015-03-02,323309.70695970696,66109.0,132986.2068965517,209886.62301587302
2015-03-03,326122.20695970696,66109.0,127572.41379310345,208488.70634920633
2015-03-04,325205.4487179487,66109.0,127848.27586206897,208224.77777777778
2015-03-05,313237.5,66109.0,127718.96551724138,202976.16666666666
2015-03-06,306352.5641025641,66109.0,132437.3563218391,202273.25
2015-03-07,316586.85897435894,66109.0,132572.41379310345,206773.3888888889
2015-03-08,326883.3333333333,66109.0,130227.58620689655,210101.8611111111
2015-03-09,326767.9487179487,66109.0,132734.77011494254,211263.66666666666
2015-03-10,313429.8076923077,66109.0,132986.2068965517,205605.33333333334
2015-03-11,314409.2948717949,66109.0,132710.3448275862,205896.44444444444
2015-03-12,316264.10256410256,78886.25,132710.3448275862,209949.35028248586
2015-03-13,323251.92307692306,66109.0,137710.3448275862,212144.91666666666
2015-03-14,311329.8076923077,66109.0,137710.3448275862,206978.66666666666
2015-03-15,308714.42307692306,66109.0,133124.1379310345,203628.66666666666
2015-03-16,320030.1282051282,66109.0,135675.8620689655,209765.47222222222
2015-03-17,315300.96153846156,66109.0,137055.1724137931,208382.83333333334
2015-03-18,328443.58974358975,66109.0,130361.66666666667,209523.41530054645
2015-03-19,325091.0256410256,66109.0,132055.1724137931,210208.52777777778
2015-03-20,317435.57692307694,66109.0,132055.1724137931,206891.16666666666
2015-03-21,315046.1538461539,66109.0,129882.75862068965,204805.75
2015-03-22,325653.5256410256,66109.0,127762.06896551725,208377.27777777778
2015-03-23,327486.858974359,66109.0,127124.16666666667,207523.41530054645
2015-03-24,336038.141025641,66109.0,132055.1724137931,214952.27777777778
2015-03-25,307860.89743589744,66109.0,122468.96551724138,198108.80555555556
2015-03-26,313891.3461538461,66109.0,122744.8275862069,200855.33333333334
2015-03-27,333876.28205128206,78886.25,116652.8735632184,209817.99435028248
2015-03-28,321961.21794871794,78886.25,120002.01149425287,206213.4745762712
2015-03-29,325899.03846153844,78886.25,116105.45977011495,206033.53107344633
2015-03-30,324698.71794871794,66231.5,121414.36781609195,204905.68055555556
2015-03-31,331488.78205128206,66109.0,121832.4712643678,208039.91666666666
2015-04-01,331197.1153846154,78886.25,120729.02298850575,210640.8757062147
2015-04-02,325525.0,78886.25,123004.88505747126,209259.94350282484
2015-04-03,330462.5,66109.0,123004.88505747126,208161.8611111111
2015-04-04,318053.8461538461,66109.0,123004.88505747126,202784.77777777778
2015-04-05,328798.5576923077,66109.0,107901.43678160918,200140.81944444444
2015-04-06,305651.1217948718,66109.0,107901.43678160918,190110.2638888889
2015-04-07,311580.60897435894,66109.0,115091.09195402298,196154.70833333334
2015-04-08,312197.5961538461,66109.0,116388.50574712643,197049.15277777778
2015-04-09,314405.9294871795,66109.0,124073.85057471263,201720.68055555556
2015-04-10,329992.46794871794,66109.0,124073.85057471263,208474.84722222222
2015-04-11,330327.4038461539,66109.0,125387.06896551725,209254.70833333334
2015-04-12,329519.71153846156,66109.0,130246.26436781608,211253.31944444444
2015-04-13,323505.28846153844,66109.0,132487.6436781609,209730.40277777778
2015-04-14,302812.98076923075,66109.0,134625.57471264366,201797.06944444444
2015-04-15,315737.01923076925,66109.0,129418.67816091953,204880.81944444444
2015-04-16,329903.68589743593,66509.0,129418.67816091953,211053.04166666666
2015-04-17,340145.67307692306,66509.0,123012.06896551725,212394.70833333334
2015-04-18,343487.01923076925,66509.0,121770.68965517242,213242.625
2015-04-19,346746.6346153846,66509.0,121900.0,214717.625
2015-04-20,340110.4166666667,66509.0,121727.58620689655,211758.59722222222
2015-04-21,338519.07051282056,66509.0,122811.66666666667,210137.55464480876
