fecha,vertimientos
2011-02-27,928789.44
2011-02-28,1558209.12
2011-03-01,2332683.33666
2011-03-02,2725389.12
2011-03-03,2264233.92
2011-03-04,1679976.96
2011-03-05,2072683.18444
2011-03-06,2288701.91222
2011-03-07,1494866.88777
2011-03-08,1216535.04
2011-03-09,1114776.0
2011-03-10,296701.92
2011-03-11,5373.61555
2011-03-14,387599.04
2011-03-15,283515.34444
2011-03-16,372354.24
2011-03-17,181413.12
2011-03-18,670542.70444
2011-03-19,2274905.28
2011-03-20,2020698.24
2011-03-21,859425.6
2011-03-22,910114.56
2011-03-23,1114394.88
2011-03-24,3553562.88
2011-03-25,5190473.28
2011-03-26,5286744.45666
2011-03-27,3854838.169
2011-03-28,3353309.50783
2011-03-29,6001935.764
2011-03-30,11524610.84822
2011-03-31,13875976.628
2011-04-01,6173321.588
2011-04-02,3355803.048
2011-04-03,1284944.84444
2011-04-04,89944.32
2011-04-05,48859.67222
2011-04-07,209120.63222
2011-04-08,209120.63222
2011-04-09,9223935.732
2011-04-10,11348179.38
2011-04-11,3870655.58577
2011-04-12,6165605.22311
2011-04-13,8540326.74288
2011-04-14,19896665.25866
2011-04-15,18245648.99577
2011-04-16,38333087.34416
2011-04-17,34839500.25366
2011-04-18,27137883.26888
2011-04-19,29657479.96311
2011-04-20,16428413.16844
2011-04-21,19058851.83593
2011-04-22,22368779.7356
2011-04-23,47652738.93037
2011-04-24,35395179.3052
2011-04-25,39010040.33505
2011-04-26,42475669.5356
2011-04-27,54045082.29971
2011-04-28,64522324.61155
2011-04-29,61952916.28532
2011-04-30,66567385.41533
2011-05-01,61021598.06311
2011-05-02,53780808.40099
2011-05-03,45957630.61722
2011-05-04,41394924.90933
2011-05-05,40187869.20966
2011-05-06,33508660.896
2011-05-07,32454175.35779
2011-05-08,25392085.19405
2011-05-09,21870533.92243
2011-05-10,19215558.24
2011-05-11,21741946.68
2011-05-12,19957258.40455
2011-05-13,18705634.97799
2011-05-14,27579556.116
2011-05-15,21802263.51271
2011-05-16,29452171.93444
2011-05-17,34457355.162
2011-05-18,19745617.71
2011-05-19,20496592.21499
2011-05-20,8448106.97801
2011-05-21,6985263.162
2011-05-22,20732743.65554
2011-05-23,18676146.03438
2011-05-24,17245461.18311
2011-05-25,30147234.14333
2011-05-26,34326950.208
2011-05-27,25910365.008
2011-05-28,23134891.96533
2011-05-29,20557291.83008
2011-05-30,14481162.288
2011-05-31,29146071.00755
2011-06-01,51176957.885
2011-06-02,57201398.61659
2011-06-03,53196646.08943
2011-06-04,74871278.74632
2011-06-05,76092397.23599
2011-06-06,49818781.9996
2011-06-07,37847035.6499
2011-06-08,25524532.07932
2011-06-09,13346271.94344
2011-06-10,6190180.872
2011-06-11,13534274.14427
2011-06-12,13597454.93544
2011-06-13,13283190.80027
2011-06-14,36781588.87466
2011-06-15,19355156.04354
2011-06-16,23797416.51832
2011-06-17,20393816.00027
2011-06-18,11809642.69604
2011-06-19,12315417.24
2011-06-20,11646738.384
2011-06-21,12047505.94427
2011-06-22,7412932.01627
2011-06-23,14139657.16766
2011-06-24,19788057.24893
2011-06-25,15355417.44
2011-06-26,36058144.35227
2011-06-27,65988408.32772
2011-06-28,53771513.49901
2011-06-29,8369668.08249
