fecha,precio_oferta
2010-07-07,210.27208163265306
2010-07-08,209.25489795918367
2010-07-09,208.59916326530612
2010-07-10,206.54255102040818
2010-07-11,205.9988775510204
2010-07-12,205.82838775510206
2010-07-13,207.25818367346938
2010-07-14,202.0224693877551
2010-07-15,204.54889795918368
2010-07-16,204.85502040816328
2010-07-17,198.89224489795922
2010-07-18,196.4628979591837
2010-07-19,204.39710204081635
2010-07-20,201.68022448979593
2010-07-21,202.40675510204082
2010-07-22,205.0196530612245
2010-07-23,207.25940816326533
2010-07-24,207.92836734693878
2010-07-25,204.40548979591838
2010-07-26,205.58257142857144
2010-07-27,206.72995918367346
2010-07-28,206.21016326530614
2010-07-29,206.04275510204084
2010-07-30,206.82720408163263
2010-07-31,205.00522448979595
2010-08-01,208.81208163265305
