fecha,aportes_energia
2011-07-20,173806100.0
2011-07-21,136688400.0
2011-07-22,144746400.0
2011-07-23,197516300.0
2011-07-24,162700100.0
2011-07-25,157019200.0
2011-07-26,144303900.0
2011-07-27,163278500.0
2011-07-28,194475300.0
2011-07-29,249696000.0
2011-07-30,245524200.0
2011-07-31,198164400.0
2011-08-01,174742000.0
2011-08-02,174481500.0
2011-08-03,174351500.0
2011-08-04,154038900.0
2011-08-05,130531700.0
2011-08-06,115764300.0
2011-08-07,136954500.0
2011-08-08,116213100.0
2011-08-09,117299100.0
2011-08-10,119700700.0
2011-08-11,153910700.0
2011-08-12,196891000.0
2011-08-13,151246700.0
2011-08-14,151795700.0
2011-08-15,169097800.0
2011-08-16,216812800.0
2011-08-17,194370600.0
2011-08-18,189517800.0
2011-08-19,237041600.0
2011-08-20,159472800.0
2011-08-21,143053200.0
2011-08-22,170599900.0
2011-08-23,205196700.0
2011-08-24,227103500.0
2011-08-25,151908500.0
2011-08-26,122512400.0
2011-08-27,125519600.0
2011-08-28,171620300.0
2011-08-29,128391400.0
2011-08-30,119716100.0
2011-08-31,109313500.0
2011-09-01,99410700.0
2011-09-02,94873900.0
2011-09-03,103734700.0
2011-09-04,107550400.0
2011-09-05,101335700.0
2011-09-06,122959700.0
2011-09-07,163225600.0
2011-09-08,147941600.0
2011-09-09,183853800.0
2011-09-10,141766800.0
2011-09-11,195992400.0
2011-09-12,286958900.0
2011-09-13,174913800.0
2011-09-14,150271000.0
2011-09-15,163322300.0
2011-09-16,154419500.0
2011-09-17,132959400.0
2011-09-18,220717100.0
2011-09-19,152559000.0
2011-09-20,238488400.0
2011-09-21,160759500.0
2011-09-22,133567300.0
2011-09-23,140329400.0
2011-09-24,124177600.0
2011-09-25,203015400.0
2011-09-26,217094500.0
2011-09-27,137386100.0
2011-09-28,137813500.0
2011-09-29,119097100.0
2011-09-30,128976700.0
2011-10-01,106680300.0
2011-10-02,106996000.0
2011-10-03,112261000.0
2011-10-04,158616100.0
2011-10-05,155087000.0
2011-10-06,144832500.0
2011-10-07,233563100.0
2011-10-08,175786600.0
2011-10-09,159260300.0
2011-10-10,211811200.0
2011-10-11,179534600.0
2011-10-12,209791900.0
2011-10-13,247917500.0
2011-10-14,227157700.0
2011-10-15,286110500.0
2011-10-16,272500600.0
2011-10-17,333990100.0
2011-10-18,287039300.0
2011-10-19,239471900.0
2011-10-20,245010300.0
2011-10-21,200035400.0
2011-10-22,222005800.0
2011-10-23,188231900.0
2011-10-24,231866500.0
2011-10-25,261215700.0
2011-10-26,208100100.0
2011-10-27,221307800.0
2011-10-28,255110100.0
2011-10-29,217620500.0
2011-10-30,257463700.0
2011-10-31,196454300.0
2011-11-01,150266100.0
2011-11-02,139466100.0
2011-11-03,144757800.0
2011-11-04,137385300.0
2011-11-05,173763500.0
2011-11-06,214984300.0
2011-11-07,175036400.0
2011-11-08,205145700.0
2011-11-09,207022600.0
2011-11-10,165441000.0
2011-11-11,190079700.0
2011-11-12,251889600.0
2011-11-13,230310500.0
2011-11-14,223581600.0
2011-11-15,261170600.0
2011-11-16,250781600.0
2011-11-17,325605600.0
2011-11-18,410669900.0
2011-11-19,364873200.0
2011-11-20,377126100.0
2011-11-21,342793400.0
2011-11-22,303750400.0
2011-11-23,304398400.0
2011-11-24,316016000.0
2011-11-25,261157200.0
2011-11-26,245993300.0
2011-11-27,265695700.0
2011-11-28,274933100.0
2011-11-29,350100700.0
2011-11-30,311130300.0
2011-12-01,305872800.0
2011-12-02,277081500.0
2011-12-03,267172900.0
2011-12-04,252054800.0
2011-12-05,322036200.0
2011-12-06,313289700.0
2011-12-07,350570100.0
2011-12-08,397120000.0
2011-12-09,270057200.0
2011-12-10,248039000.0
2011-12-11,243693600.0
2011-12-12,312908200.0
2011-12-13,288230500.0
2011-12-14,243219200.0
2011-12-15,299070700.0
2011-12-16,266956400.0
2011-12-17,249323900.0
2011-12-18,221774900.0
2011-12-19,237324800.0
2011-12-20,235769300.0
2011-12-21,168614200.0
2011-12-22,147285200.0
2011-12-23,137684600.0
2011-12-24,152967500.0
2011-12-25,141262600.0
2011-12-26,162291400.0
2011-12-27,166536800.0
2011-12-28,134495800.0
2011-12-29,191831300.0
2011-12-30,132673400.0
2011-12-31,127604400.0
2012-01-01,108042700.0
2012-01-02,109264400.0
2012-01-03,174760900.0
2012-01-04,142499900.0
2012-01-05,179569100.0
2012-01-06,161272400.0
2012-01-07,137063000.0
2012-01-08,120584600.0
2012-01-09,111341400.0
2012-01-10,107789900.0
2012-01-11,110041500.0
