fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2010-07-26,143597832.53,3740458.29,15772219.21,163110510.03
2010-07-27,140427341.67,3570086.45,18721016.1,162718444.22
2010-07-28,136317663.99,3633409.13,19194206.599999998,159145279.72
2010-07-29,137070999.4,3698501.59,18810323.54,159579824.53
2010-07-30,135203398.61,5216960.92,18523115.92,158943475.45
2010-07-31,126740753.86,3233216.96,19329703.99,149303674.81
2010-08-01,107886968.97,3055442.19,20745064.37,131687475.53
2010-08-02,132987123.9,2587723.73,21993624.82,157568472.45
2010-08-03,138221442.49,2900220.15,19347153.700000003,160468816.34
2010-08-04,134926350.64000002,3012516.82,23711244.42,161650111.88
2010-08-05,134171402.99000001,3049000.59,24407111.05,161627514.63
2010-08-06,134872397.73,3054840.65,22406177.189999998,160333415.57
2010-08-07,110335309.71,6362230.86,23522725.43,140220266.0
2010-08-08,110825737.67,3168354.16,18778782.35,132772874.17999999
2010-08-09,135593702.38,3703231.29,19212351.36,158509285.03
2010-08-10,141202408.95,2725607.26,20313149.09,164241165.3
2010-08-11,137335134.59,2882598.67,23042253.32,163259986.57999998
2010-08-12,135834839.66,2962595.44,21427231.01,160224666.11
2010-08-13,131955857.15,2992696.7800000003,24675732.669999998,159624286.6
2010-08-14,130042821.11,2751876.34,20309945.019999996,153104642.47
2010-08-15,108431431.68,2889675.51,21139490.71,132460597.9
2010-08-16,112058735.03,3236175.33,20579168.82,135874079.18
2010-08-17,137094597.12,2124480.82,21223558.09,160442636.03
2010-08-18,137475656.75,1924012.94,22054177.15,161453846.84
2010-08-19,139004845.23000002,2185922.7,22666964.599999998,163857732.53
2010-08-20,135661736.99,2824555.51,26521276.25,165007568.75
2010-08-21,131279122.33,2230029.83,22604895.3,156114047.46
2010-08-22,114667926.75999999,2310926.66,21236502.78,138215356.20000002
2010-08-23,139034079.19,2361961.21,22755400.95,164151441.35
2010-08-24,141774858.15,2191946.18,23287860.14,167254664.47
2010-08-25,139219158.36,2124312.9899999998,23767897.21,165111368.56
2010-08-26,126138258.42,3156939.9000000004,30848369.520000003,160143567.84
2010-08-27,126438375.77,2992550.1399999997,31727825.650000002,161158751.56
2010-08-28,128665664.08,2828927.79,22931201.55,154425793.42
2010-08-29,114638385.9,2093731.48,23230311.29,139962428.67
2010-08-30,137565934.81,2175684.83,25192007.18,164933626.82
2010-08-31,139721215.83,2416449.19,22739036.36,164876701.38
2010-09-01,132416280.00999999,3102503.4,27622965.43,163141748.84
2010-09-02,131518601.0,3187232.23,27015161.36,161720994.59
2010-09-03,132258080.96000001,3346933.26,26072221.26,161677235.48
2010-09-04,126489679.67,3452558.25,23922083.790000003,153864321.71
2010-09-05,108986995.88,3297093.76,23691440.47,135975530.11
2010-09-06,131034221.86,2792598.56,25271941.41,159098761.83
2010-09-07,132147623.55,2887256.99,28103797.97,163138678.51
2010-09-08,132754003.63,3037791.86,26354646.15,162146441.64
2010-09-09,134070417.42,3498204.84,25004092.04,162572714.3
2010-09-10,136093873.76,3824852.16,22622968.119999997,162541694.04
