fecha,precio_bolsa,demanda,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada,gen_hidraulica,gen_no_termica,gen_termica,generacion,aportes_energia,precio_oferta,vol_util,indice_ONI,vertimientos
2017-01-27,132.35711999999998,186430892.88000003,259692.08333333334,36986.458333333336,109106.25,163993.6295180723,161701699.24,3982887.2,23196989.169999998,188881575.60999998,130582700.0,242.67267307692308,11730720300.0,-0.3,2580058.84055
2017-01-28,122.14532666666663,175996353.4,259194.27927927923,36993.40277777778,102865.88293650794,161615.0700280112,150754860.2,3945166.76,23645475.939999998,178345502.9,121760400.0,252.93065384615386,11688591300.0,-0.3,2159951.26027
2017-01-29,132.5649616666667,160372530.04,264324.41441441444,36959.027777777774,111711.88095238096,168255.0892857143,134465744.64,3919186.08,24363422.299999997,162748353.02,110837400.0,248.9271538461538,11651162700.0,-0.3,2976534.51638
2017-01-30,133.67775333333338,183968460.16,256362.2072072072,37195.05718954249,111707.00231481482,164155.22866205306,156834066.13,3910920.28,25831317.24,186576303.65,146414800.0,249.65226923076918,11619974300.0,-0.3,3466375.7911
2017-01-31,122.42398999999999,185309256.34,255793.4684684685,37276.041666666664,111749.13194444444,163936.93627450982,153189675.65,4560929.0,30016278.490000002,187766883.14000002,100985000.0,250.75032692307693,11559514700.0,-0.3,1921449.09471
2017-02-01,106.27191666666666,185881888.77999997,250587.2548896164,37192.708333333336,118186.58088235294,166511.57066435026,157157955.71,3542469.34,27446518.45,188146943.5,104966400.0,246.13217307692304,11509462000.0,-0.2,2129862.13194
2017-02-02,113.45448666666665,187123360.63999993,250962.74356840717,37093.75,115132.44047619047,164839.34908548402,166388244.71,2877689.16,20715830.700000003,189981764.57,90912600.0,242.39419230769226,11410773800.0,-0.2,2412594.18638
2017-02-03,112.8727633333333,187203542.28000003,251097.50683526997,36988.194444444445,114895.53571428571,164787.1452126305,166528876.43,3581043.13,20050618.98,190160538.54,88538500.0,245.0696346153846,11357580200.0,-0.2,2817109.63305
2017-02-04,130.6018433333333,178852490.65000007,249954.54944178628,37193.055555555555,114263.45588235294,164637.46482683983,158493104.98,3092890.08,20131409.38,181717404.44,86882500.0,246.11265384615385,11274182300.0,-0.2,4110122.65499
2017-02-05,92.87973666666666,161892240.73999998,247186.96172248802,37228.47222222222,110365.45238095237,161207.4946524064,145249843.88,3117343.92,16213421.150000002,164580608.95,87321100.0,246.04065384615384,11207577900.0,-0.2,552053.41805
2017-02-06,122.35795333333336,187495551.72,241426.96172248802,37228.47222222222,110343.15476190476,158623.254456328,165249152.5,2773524.18,22002951.98,190025628.66,79784700.0,243.8214615384615,11322974000.0,-0.2,180192.22111
2017-02-07,149.68856166666671,191093447.2,242825.51435406698,38789.39393939394,115638.39285714286,163111.86462842714,165488748.85,3087033.82,25193740.97,193769523.64000002,64335100.0,246.61882692307694,11213659000.0,-0.2,69885.82111
2017-02-08,134.32141166666665,193058496.55999994,258837.25589225593,38800.757575757576,115486.0119047619,168133.65807464893,167289741.54,3415686.51,24820069.03,195525497.07999998,66050100.0,246.60571153846152,11094662400.0,-0.2,1101548.12193
2017-02-09,136.6317083333333,192728892.18,246861.1722488038,37222.569444444445,112655.38194444444,161430.10614869627,160831798.02,3373548.9,31306468.349999998,195511815.27,68591500.0,245.48903846153846,10989271400.0,-0.2,3660307.54555
