fecha,precio_bolsa
2011-03-22,98.55857666666668
2011-03-23,79.58944666666672
2011-03-24,70.04400333333334
2011-03-25,66.11742666666667
2011-03-26,57.641421666666666
2011-03-27,46.227748333333345
2011-03-28,69.29959999999998
2011-03-29,67.32531166666668
2011-03-30,70.21459333333334
2011-03-31,79.73677333333335
2011-04-01,85.13073333333331
2011-04-02,84.19830666666664
2011-04-03,79.94732333333337
2011-04-04,90.80401333333332
2011-04-05,94.09911000000001
2011-04-06,111.80278666666673
2011-04-07,113.93139499999997
2011-04-08,111.59382666666663
2011-04-09,111.54871666666664
2011-04-10,104.14661999999998
2011-04-11,104.94801999999999
2011-04-12,97.46290333333333
2011-04-13,82.11356000000002
2011-04-14,72.32636666666667
2011-04-15,64.58226333333333
2011-04-16,41.82790500000001
2011-04-17,37.493925
2011-04-18,55.73655500000002
2011-04-19,61.61052999999999
2011-04-20,54.209183333333335
2011-04-21,40.59480999999999
2011-04-22,36.116903333333326
2011-04-23,35.35667333333334
2011-04-24,38.637899999999995
2011-04-25,63.10095000000001
2011-04-26,64.85929999999999
2011-04-27,67.88438666666666
2011-04-28,65.50180833333333
2011-04-29,65.68383499999999
2011-04-30,65.23994666666667
2011-05-01,49.33937833333332
2011-05-02,59.49773166666668
2011-05-03,49.89489499999999
2011-05-04,65.16435666666668
2011-05-05,64.70290500000003
2011-05-06,64.349035
2011-05-07,59.054291666666664
2011-05-08,40.57792666666666
2011-05-09,60.01288999999998
2011-05-10,70.80888666666667
2011-05-11,73.69966833333335
2011-05-12,74.49397499999999
2011-05-13,70.57294999999999
2011-05-14,66.93600333333335
2011-05-15,45.349535
2011-05-16,63.95801
2011-05-17,62.724538333333335
2011-05-18,58.75780499999999
2011-05-19,61.864964999999984
2011-05-20,61.65517833333332
2011-05-21,58.06744499999997
2011-05-22,46.86693000000002
2011-05-23,59.46456166666665
2011-05-24,58.463935
2011-05-25,53.527413333333335
2011-05-26,58.43773000000002
2011-05-27,60.14340333333332
2011-05-28,43.237175
2011-05-29,38.79784666666667
2011-05-30,64.76101666666665
2011-05-31,48.02973166666667
2011-06-01,56.12968
2011-06-02,59.28288833333335
2011-06-03,50.99461166666666
2011-06-04,39.153789999999994
2011-06-05,37.75055000000001
2011-06-06,49.951141666666665
2011-06-07,66.19369833333334
2011-06-08,71.45534166666665
2011-06-09,72.03926666666668
2011-06-10,65.938955
2011-06-11,62.709366666666654
2011-06-12,60.44277000000002
2011-06-13,78.64042833333332
2011-06-14,74.81008999999996
2011-06-15,71.95716666666668
2011-06-16,76.12601999999997
2011-06-17,74.36107999999997
2011-06-18,62.75183999999998
2011-06-19,41.110795000000024
2011-06-20,60.73117000000001
2011-06-21,64.45496000000001
2011-06-22,72.46697999999999
2011-06-23,68.01152333333336
2011-06-24,61.952363333333345
2011-06-25,54.94617333333333
2011-06-26,43.93234000000001
2011-06-27,40.93407
2011-06-28,63.93893833333335
2011-06-29,56.412315
2011-06-30,42.26873000000001
2011-07-01,41.74262166666668
2011-07-02,40.96413666666666
2011-07-03,38.59078333333332
2011-07-04,43.230700000000006
2011-07-05,43.00433833333333
2011-07-06,47.13282666666668
2011-07-07,47.42383499999999
2011-07-08,51.125143333333334
2011-07-09,43.964783333333315
2011-07-10,52.14478666666667
2011-07-11,51.063475000000004
2011-07-12,72.68468333333333
2011-07-13,71.21703000000001
2011-07-14,70.67209333333335
2011-07-15,73.02017
2011-07-16,62.417263333333345
2011-07-17,57.23246666666665
2011-07-18,65.20513166666665
2011-07-19,62.121415000000034
2011-07-20,51.65662333333333
2011-07-21,64.58690666666666
2011-07-22,66.704355
2011-07-23,70.97846666666663
2011-07-24,47.68340833333334
2011-07-25,55.987100000000005
2011-07-26,58.376113333333336
2011-07-27,65.57080166666665
2011-07-28,61.44030166666666
2011-07-29,56.36487666666665
2011-07-30,48.38995833333333
2011-07-31,38.23312333333332
2011-08-01,64.06130666666668
2011-08-02,78.54902500000001
2011-08-03,76.41861999999999
2011-08-04,72.66939500000002
2011-08-05,72.02075666666668
2011-08-06,81.85594833333334
2011-08-07,88.32487333333334
2011-08-08,116.6647433333333
2011-08-09,110.90253666666666
2011-08-10,108.84300666666671
2011-08-11,101.68828
2011-08-12,115.56029333333332
2011-08-13,114.48712666666664
2011-08-14,92.35254000000003
2011-08-15,96.05644333333329
2011-08-16,115.11802499999997
2011-08-17,99.4778633333333
2011-08-18,86.89334000000002
2011-08-19,65.79334666666666
2011-08-20,84.28361333333334
2011-08-21,64.94253499999998
2011-08-22,79.52784666666666
2011-08-23,85.86213166666666
2011-08-24,80.48005499999998
2011-08-25,86.767565
2011-08-26,81.7896783333333
2011-08-27,81.07158833333337
2011-08-28,74.34026333333334
2011-08-29,91.96411333333332
2011-08-30,98.91455166666664
2011-08-31,90.65572000000003
2011-09-01,117.84721333333336
2011-09-02,96.5649266666667
2011-09-03,84.11871833333335
2011-09-04,80.31732666666667
2011-09-05,100.08095000000002
2011-09-06,96.88470000000002
2011-09-07,103.57300499999997
2011-09-08,112.97728833333336
2011-09-09,93.51267333333332
2011-09-10,89.46085
2011-09-11,87.05549
2011-09-12,85.09116333333333
2011-09-13,106.15667666666667
2011-09-14,91.46609166666663
2011-09-15,97.80605333333331
2011-09-16,93.37363333333333
2011-09-17,90.67604666666665
2011-09-18,86.94424333333338
2011-09-19,92.28426833333333
2011-09-20,99.39655666666668
2011-09-21,98.67302333333329
2011-09-22,94.63674666666668
2011-09-23,95.34224166666662
2011-09-24,95.15290500000003
2011-09-25,77.99585333333336
2011-09-26,92.8684233333333
2011-09-27,82.00584000000002
2011-09-28,82.04947499999996
2011-09-29,82.02102333333336
2011-09-30,68.9526366666667
2011-10-01,59.402383333333354
2011-10-02,57.240543333333314
2011-10-03,88.73464333333334
2011-10-04,93.41852666666665
2011-10-05,103.58057833333334
2011-10-06,117.62872666666664
2011-10-07,108.50096
2011-10-08,103.33720333333333
2011-10-09,77.24682666666665
2011-10-10,86.7396066666667
2011-10-11,108.60980999999997
2011-10-12,79.264765
2011-10-13,70.25542666666666
2011-10-14,72.7172866666667
2011-10-15,63.336549999999995
2011-10-16,45.54983000000001
2011-10-17,53.291564999999984
2011-10-18,60.18590333333332
2011-10-19,56.147998333333334
2011-10-20,63.53887666666668
2011-10-21,62.01224666666664
2011-10-22,65.07802999999997
2011-10-23,54.850449999999995
2011-10-24,73.80033166666666
2011-10-25,83.54414833333335
2011-10-26,78.17968000000002
2011-10-27,83.09581333333331
2011-10-28,78.41432166666665
2011-10-29,56.11935333333334
2011-10-30,38.567809999999994
2011-10-31,40.07027166666668
2011-11-01,63.38179666666665
2011-11-02,63.92177833333335
2011-11-03,79.14965666666666
2011-11-04,86.39347833333335
2011-11-05,66.42513166666669
2011-11-06,65.0966366666667
2011-11-07,62.80939333333334
2011-11-08,77.88801333333335
2011-11-09,74.09011166666669
2011-11-10,75.10316833333333
2011-11-11,87.01764333333335
2011-11-12,73.02804333333331
2011-11-13,59.42474500000002
2011-11-14,56.543798333333314
2011-11-15,76.95416499999997
2011-11-16,83.31144666666668
2011-11-17,77.04924666666666
2011-11-18,79.62526666666665
2011-11-19,65.76813
2011-11-20,51.784330000000004
2011-11-21,79.509955
2011-11-22,69.04777666666665
2011-11-23,69.69694833333334
2011-11-24,76.263255
2011-11-25,54.149995
2011-11-26,66.93595666666666
2011-11-27,50.09852833333333
2011-11-28,74.39984
2011-11-29,78.5259766666667
2011-11-30,74.79156
2011-12-01,67.36726166666664
2011-12-02,72.83306833333334
2011-12-03,50.69417333333333
2011-12-04,45.727
2011-12-05,57.39581666666666
2011-12-06,56.412038333333335
2011-12-07,57.21529
2011-12-08,44.90255
2011-12-09,47.12730666666667
2011-12-10,43.74275833333332
2011-12-11,43.525463333333335
2011-12-12,51.25867500000001
2011-12-13,63.73910833333331
2011-12-14,63.23358000000002
2011-12-15,64.29327666666667
2011-12-16,67.32257833333334
2011-12-17,50.11285999999998
2011-12-18,45.94961333333334
2011-12-19,48.00833333333333
2011-12-20,53.76808666666667
2011-12-21,50.66614166666665
2011-12-22,60.977270000000026
2011-12-23,57.31073833333334
2011-12-24,45.98789333333334
2011-12-25,41.286195
2011-12-26,58.468296666666674
2011-12-27,69.13122666666665
2011-12-28,67.24606833333337
2011-12-29,69.08864000000001
2011-12-30,61.68016499999999
2011-12-31,53.54498166666668
2012-01-01,42.181118333333316
