Id,Value,Date
Sistema,187458000.42,2015-04-24
Sistema,176857411.08,2015-04-25
Sistema,159248392.58,2015-04-26
Sistema,186982888.14,2015-04-27
Sistema,189623159.48,2015-04-28
Sistema,189273733.55,2015-04-29
Sistema,186267835.53,2015-04-30
Sistema,182514903.4,2015-03-02
Sistema,186547724.25,2015-03-03
Sistema,187348366.47,2015-03-04
Sistema,188029002.17,2015-03-05
Sistema,186590594.84,2015-03-06
Sistema,175496611.98,2015-03-07
Sistema,157438093.41,2015-03-08
Sistema,185107712.43,2015-03-09
Sistema,188202573.1,2015-03-10
Sistema,190684586.42,2015-03-11
Sistema,190652307.69,2015-03-12
Sistema,189263846.99,2015-03-13
Sistema,178038241.79,2015-03-14
Sistema,158588266.42,2015-03-15
Sistema,182815620.23,2015-03-16
Sistema,184337085.74,2015-03-17
Sistema,180960635.19,2015-03-18
Sistema,179712202.09,2015-03-19
Sistema,179324152.61,2015-03-20
Sistema,171181692.73,2015-03-21
Sistema,153687955.27,2015-03-22
Sistema,158230341.14,2015-03-23
Sistema,182774757.51,2015-03-24
Sistema,184836940.36,2015-03-25
Sistema,186689757.27,2015-03-26
Sistema,189296030.08,2015-03-27
Sistema,180053186.63,2015-03-28
Sistema,158023222.28,2015-03-29
Sistema,178171046.82,2015-03-30
Sistema,180567280.25,2015-03-31
Sistema,173018578.91,2015-01-31
Sistema,154861964.34,2015-02-01
Sistema,180603273.47,2015-02-02
Sistema,183139670.52,2015-02-03
Sistema,186048383.17,2015-02-04
Sistema,187310638.98,2015-02-05
Sistema,186336308.5,2015-02-06
Sistema,174480918.23,2015-02-07
Sistema,154603590.01,2015-02-08
Sistema,179343592.85,2015-02-09
Sistema,182971633.71,2015-02-10
Sistema,183151744.38,2015-02-11
Sistema,183639378.94,2015-02-12
Sistema,186982101.99,2015-02-13
Sistema,175975770.87,2015-02-14
Sistema,157288718.01,2015-02-15
Sistema,183426052.11,2015-02-16
Sistema,186425508.07,2015-02-17
Sistema,189117359.71,2015-02-18
Sistema,188217535.75,2015-02-19
Sistema,187828056.37,2015-02-20
Sistema,178402643.83,2015-02-21
Sistema,161124161.64,2015-02-22
Sistema,185674086.08,2015-02-23
Sistema,188684117.34,2015-02-24
Sistema,188195393.64,2015-02-25
Sistema,187336904.56,2015-02-26
Sistema,188530281.94,2015-02-27
Sistema,178613932.36,2015-02-28
Sistema,158212666.12,2015-03-01
Sistema,135497872.81,2015-01-01
Sistema,157184369.2,2015-01-02
Sistema,157588426.45,2015-01-03
Sistema,148230033.41,2015-01-04
Sistema,169400529.85,2015-01-05
