Id,Value,Date
Sistema,7223068023.5,2015-05-02
Sistema,7182466384.8,2015-05-03
Sistema,7127164972.0,2015-05-04
Sistema,7043210518.0,2015-05-05
Sistema,6966978916.8,2015-05-06
Sistema,6915129018.4,2015-05-07
Sistema,6891289215.9,2015-05-08
Sistema,6834052104.6,2015-05-09
Sistema,6809026834.6,2015-05-10
Sistema,6734865381.1,2015-05-11
Sistema,6662766425.4,2015-05-12
Sistema,6593544142.8,2015-05-13
Sistema,6522145914.8,2015-05-14
Sistema,6509472873.1,2015-05-15
Sistema,6526440117.4,2015-05-16
Sistema,6586374736.3,2015-05-17
Sistema,6671722465.7,2015-05-18
Sistema,6688947464.9,2015-05-19
Sistema,6677540743.7,2015-05-20
Sistema,6791442665.4,2015-05-21
Sistema,6819733272.9,2015-05-22
Sistema,6833743505.3,2015-05-23
Sistema,6845120731.0,2015-05-24
Sistema,6910273674.7,2015-05-25
Sistema,6928295912.8,2015-05-26
Sistema,6938916605.3,2015-05-27
Sistema,6976560705.7,2015-05-28
Sistema,7125528244.7,2015-05-29
Sistema,7324920809.1,2015-05-30
Sistema,7208293808.8,2015-04-01
Sistema,7189259290.1,2015-04-02
Sistema,7269627716.0,2015-04-03
Sistema,7300779400.9,2015-04-04
Sistema,7308677236.4,2015-04-05
Sistema,7274016249.7,2015-04-06
Sistema,7252247842.8,2015-04-07
Sistema,7254877441.4,2015-04-08
Sistema,7219881345.7,2015-04-09
Sistema,7163806116.7,2015-04-10
Sistema,7193805554.1,2015-04-11
Sistema,7233078782.4,2015-04-12
Sistema,7224213965.9,2015-04-13
Sistema,7246799015.8,2015-04-14
Sistema,7275924583.7,2015-04-15
Sistema,7309703505.7,2015-04-16
Sistema,7349317976.3,2015-04-17
Sistema,7385990936.6,2015-04-18
Sistema,7474805665.5,2015-04-19
Sistema,7520695473.8,2015-04-20
Sistema,7541520810.0,2015-04-21
Sistema,7525360099.1,2015-04-22
Sistema,7484758893.5,2015-04-23
Sistema,7453223429.5,2015-04-24
Sistema,7458219391.4,2015-04-25
Sistema,7463168983.7,2015-04-26
Sistema,7435560870.1,2015-04-27
Sistema,7420934750.1,2015-04-28
Sistema,7361931043.3,2015-04-29
Sistema,7296635447.7,2015-04-30
Sistema,8872934274.4,2015-03-02
Sistema,8764780000.2,2015-03-03
Sistema,8691687589.7,2015-03-04
Sistema,8621070825.3,2015-03-05
Sistema,8564635482.0,2015-03-06
Sistema,8511299972.2,2015-03-07
Sistema,8455755814.0,2015-03-08
Sistema,8345490078.8,2015-03-09
Sistema,8275213163.4,2015-03-10
Sistema,8185611051.9,2015-03-11
Sistema,8103532233.5,2015-03-12
Sistema,8032637008.7,2015-03-13
Sistema,7955559464.8,2015-03-14
Sistema,7907626600.1,2015-03-15
Sistema,7831673873.0,2015-03-16
Sistema,7754053705.2,2015-03-17
Sistema,7714495294.9,2015-03-18
Sistema,7686010889.5,2015-03-19
Sistema,7675837027.6,2015-03-20
Sistema,7680656102.8,2015-03-21
Sistema,7678108501.4,2015-03-22
Sistema,7663344555.2,2015-03-23
Sistema,7594132643.7,2015-03-24
Sistema,7523762016.6,2015-03-25
Sistema,7457529546.1,2015-03-26
Sistema,7359913933.7,2015-03-27
Sistema,7293824563.6,2015-03-28
Sistema,7311939738.5,2015-03-29
Sistema,7276601588.5,2015-03-30
Sistema,7248264199.3,2015-03-31
Sistema,10489855560.1,2015-01-31
Sistema,10525211942.3,2015-02-01
Sistema,10486515620.5,2015-02-02
Sistema,10439866155.7,2015-02-03
Sistema,10372867790.7,2015-02-04
Sistema,10298723003.5,2015-02-05
Sistema,10254701575.9,2015-02-06
Sistema,10203707317.7,2015-02-07
Sistema,10214935119.7,2015-02-08
Sistema,10208356894.2,2015-02-09
Sistema,10205132132.7,2015-02-10
Sistema,10176443648.6,2015-02-11
