Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,5291388.35,5052061.39,4958325.76,4964350.63,5125894.96,5500521.07,5728983.74,6204042.38,6740256.67,7071267.99,7369828.12,7585173.19,7348494.11,7295365.67,7317971.36,7327252.42,7358942.97,7539121.07,8592342.12,8611051.97,8248455.28,7722110.06,6897544.71,6042660.01,2010-12-20
Sistema,Sistema,5465759.53,5231150.72,5116489.31,5099626.25,5264278.51,5696036.9,5906725.1,6404295.41,6897329.28,7181667.29,7360334.31,7493299.67,7286598.94,7178108.73,7236054.82,7227200.95,7212861.45,7265474.53,8387110.62,8517584.49,8257722.78,7725241.94,6960555.5,6055997.26,2010-12-21
Sistema,Sistema,5535520.59,5263897.45,5138890.35,5107925.37,5297181.09,5648064.84,5758850.3,6202438.52,6682782.7,7013990.2,7271805.48,7426899.21,7261010.38,7189619.94,7238171.33,7197293.7,7103695.31,7224267.32,8469925.08,8562637.78,8258757.06,7785415.47,6939570.2,5969012.73,2010-12-22
Sistema,Sistema,5568699.77,5306044.17,5203273.6,5142715.0,5363816.4,5697013.46,5858238.06,6360582.02,6665172.2,6894104.0,7101950.02,7251461.64,7123805.0,7043231.06,7059315.91,7050586.51,7044705.07,7177605.79,8190250.13,8259070.1,8094542.64,7617273.7,6714927.65,5975036.9,2010-12-23
Sistema,Sistema,5422545.83,5168446.03,5061639.48,5025156.02,5137545.43,5367977.42,5343210.88,5547610.76,5995943.01,6165398.36,6377231.76,6448095.94,6268455.85,5960999.27,5865310.6,5763751.79,5715452.32,5924421.32,7502515.82,7696050.72,7359040.65,6772437.37,6275575.34,5983627.77,2010-12-24
Sistema,Sistema,5432676.63,5071589.36,4943465.84,4543409.24,4589580.03,4540450.54,4267311.48,4330548.64,4518573.88,4754317.86,4769037.55,4958649.98,5042376.97,4982999.73,4853473.28,4775003.16,4794314.42,5155905.52,6677141.2,6988710.13,6608772.84,6070208.89,5481154.59,5100151.12,2010-12-25
Sistema,Sistema,4802407.13,4509944.07,4272181.39,4211343.52,4214412.03,4254477.85,4288717.79,4426139.13,4801711.85,5138178.81,5378860.65,5546400.74,5573979.99,5504593.78,5355478.9,5255876.06,5297712.85,5727732.65,7152537.36,7437637.54,7119575.48,6444317.16,5776978.84,5208235.43,2010-12-26
Sistema,Sistema,5479689.55,5271319.97,5162993.31,5146828.92,5421578.97,6096941.17,6334847.0,6616369.74,7006608.79,7243549.59,7489024.5,7650627.41,7347949.13,7196878.56,7381021.32,7484657.26,7579000.9,7943686.2,8503517.93,8233591.41,7992736.61,7417706.78,6684060.13,5952823.5,2010-10-28
Sistema,Sistema,5515764.89,5312209.2,5148456.3,5148101.05,5491101.08,6127088.23,6320414.35,6651889.89,7054533.85,7289407.98,7444539.42,7582170.7,7340395.82,7285636.78,7371806.97,7384734.89,7400672.16,7713364.37,8341716.28,8222600.09,7940061.51,7262342.12,6612652.58,5954663.27,2010-10-29
Sistema,Sistema,5663327.11,5461709.35,5278033.01,5229489.83,5326918.05,5498350.24,5695959.73,6242886.3,6717187.76,6977716.06,7138279.44,7261601.92,7065761.76,6774946.01,6598165.68,6552459.27,6633971.48,7005356.01,8036361.57,7923101.57,7571924.54,6853246.46,6322156.21,5815278.09,2010-10-30
Sistema,Sistema,5529072.29,5251395.2,4983983.03,4879789.68,4911982.94,4870971.88,4799340.07,5146708.16,5546190.74,5837502.21,6032890.53,6114557.45,6154876.97,6095792.33,5885868.96,5802901.05,5802950.01,5996332.4,6957771.19,6943603.78,6743051.45,6533563.16,6005618.12,5512783.47,2010-10-31
Sistema,Sistema,5140953.18,4893241.44,4721659.34,4653550.22,4707655.24,4729519.64,4629240.33,5109467.98,5537341.17,5875218.47,6092646.25,6328565.07,6373428.54,6237850.74,6096441.97,6027993.95,6083940.15,6686299.13,7542484.29,7594713.83,7162765.1,6720539.91,6021327.13,5624987.4,2010-11-01
Sistema,Sistema,5222892.17,4961023.36,4823650.87,4828080.54,5175362.01,5867753.57,6088493.95,6366614.04,6849483.08,7143345.31,7359971.24,7488769.52,7179548.67,7073090.28,7215353.01,7318360.36,7380439.78,7774835.88,8293492.15,8165036.47,7868527.98,7160679.99,6251376.36,5528512.37,2010-11-02
Sistema,Sistema,5208486.46,5048884.9,4927914.01,4928068.98,5172516.5,5859744.7,6066269.11,6393568.77,6842867.58,7030931.53,7327685.49,7438514.54,7180850.49,7122775.94,7246586.78,7291545.65,7298250.54,7735967.27,8411010.73,8253566.75,7812385.77,7260668.92,6241866.92,5549998.98,2010-11-03
Sistema,Sistema,5354288.49,5068720.36,4916614.84,5008406.89,5290105.33,6040963.37,6293570.43,6510252.27,6888127.55,7131206.84,7386845.63,7465496.28,7235645.79,7195377.78,7344068.85,7458049.3,7437088.0,7635029.59,8476951.16,8369582.24,7967103.95,7473280.67,6737396.34,5803702.07,2010-11-04
Sistema,Sistema,5422843.51,5290633.07,5192051.08,5205600.44,5530651.04,6210083.01,6334024.92,6626475.98,7035357.7,7255480.03,7514297.52,7638596.02,7392444.48,7370517.85,7503026.85,7415925.59,7278328.7,7788108.23,8558758.88,8277137.16,7905676.28,7332269.99,6679016.93,6068978.34,2010-11-05
Sistema,Sistema,5592650.83,5355674.44,5175491.4,5107156.16,5293907.2,5572723.06,5705644.98,6146927.43,6624679.29,6907851.12,7160088.44,7264611.81,7144056.66,6922044.83,6713744.69,6598943.51,6545142.35,6867202.48,7834694.06,7731356.62,7288335.64,6814286.78,6143247.61,5554925.15,2010-11-06
Sistema,Sistema,5224139.74,5013131.5,4873965.62,4761835.37,4770699.34,4841626.23,4725062.34,5039393.21,5397567.17,5696480.64,5880133.94,6021308.5,6058578.1,5962211.09,5791956.49,5706514.2,5717178.44,6201361.11,7271371.42,7238944.25,7057781.83,6599467.91,5976777.94,5547170.5,2010-11-07
Sistema,Sistema,5154934.44,4984116.21,4891547.65,4918031.18,5176729.66,5898407.64,6043897.36,6377500.72,6740709.57,7066485.37,7359910.63,7492431.56,7251224.69,7165899.33,7255496.91,7334839.13,7389899.59,7654325.4,8430462.59,8291215.99,7778785.45,7248871.85,6471773.31,5660770.23,2010-11-08
