Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,5756726.7,5599823.69,5555030.62,5566433.6,5766603.76,6213063.48,6408073.52,6676196.86,6980090.67,7159536.74,7352892.13,7450692.44,7339765.88,7218102.19,7247622.03,7257022.95,7280254.9,7457676.79,8398061.33,8558935.83,8227989.77,7773175.96,6989017.08,6321471.51,2010-12-20
Sistema,Sistema,5858255.32,5723451.88,5630737.87,5629027.53,5813036.19,6297858.5,6493748.92,6750439.03,7050579.86,7164791.84,7294577.69,7424622.47,7285346.6,7173183.05,7200191.33,7189945.71,7231700.13,7367539.9,8303714.64,8532334.92,8272133.55,7757961.54,7000875.35,6314518.58,2010-12-21
Sistema,Sistema,5896012.38,5752702.74,5659802.26,5642395.49,5844581.17,6258245.79,6443260.67,6703898.54,6987123.06,7160115.0,7318566.92,7428823.64,7312867.84,7224274.58,7272382.29,7242406.65,7209419.2,7396969.29,8394255.51,8566714.58,8273573.13,7758590.79,7032175.84,6357161.47,2010-12-22
Sistema,Sistema,5897612.61,5737209.99,5683894.47,5641741.85,5870757.82,6302100.41,6489556.1,6748649.65,7036682.79,7167978.46,7324141.69,7457120.97,7328511.02,7184509.7,7229945.81,7245258.69,7246518.52,7406117.7,8296723.1,8476700.39,8198389.56,7727968.01,6946738.9,6240387.52,2010-12-23
Sistema,Sistema,5766922.8,5552171.17,5509926.93,5524731.32,5712951.11,6130805.23,6250678.64,6457437.46,6752209.49,6810818.03,7028506.24,7134846.99,6998194.94,6785025.98,6735093.6,6682557.0,6651541.48,6849931.31,7870568.39,8056500.24,7736302.28,7247168.12,6530168.76,5872794.93,2010-12-24
Sistema,Sistema,5568525.89,5316782.27,5173294.87,5146939.84,5210699.97,5326559.16,5266127.15,5457702.77,5683358.55,5858731.53,6014046.32,6112550.8,6128881.4,6050492.95,5969446.82,5897427.75,5898387.28,6192972.03,7188542.17,7454980.49,7253818.11,6875446.41,6290421.08,5767495.06,2010-12-25
Sistema,Sistema,5539605.11,5341214.46,5248645.69,5194823.91,5278650.21,5399944.95,5366436.18,5584515.02,5872598.86,6067359.27,6219126.6,6313755.87,6319567.82,6253594.23,6165021.22,6101082.81,6089481.12,6357610.51,7364163.43,7652254.27,7457089.7,7058699.67,6487036.02,5913463.77,2010-12-26
Sistema,Sistema,6824786.56,6699375.01,6603540.7,6585635.56,6854395.51,7377009.37,7628447.57,7810471.4,8185802.1,8364730.6,8546059.26,8688273.77,8492348.66,8333399.82,8406169.87,8459566.74,8509306.13,8720353.6,9524101.69,9567687.73,9195444.26,8679432.43,7892055.04,7221273.11,2010-10-28
Sistema,Sistema,6784637.82,6659260.62,6558353.44,6602920.64,6879554.46,7433950.87,7659167.28,7881026.78,8266550.86,8425139.94,8628563.29,8769254.09,8574274.22,8474787.74,8509672.78,8515296.35,8535566.29,8774274.23,9467387.06,9601899.46,9255752.57,8727000.65,7945317.18,7272330.02,2010-10-29
Sistema,Sistema,6887942.31,6743768.36,6640637.57,6639494.3,6769719.18,6947226.83,7186793.94,7544459.26,7951190.43,8134630.26,8246725.99,8409403.45,8319075.91,8045745.73,7881987.96,7837453.38,7882827.89,8183449.47,9061324.63,9200367.88,8904969.35,8389042.56,7719476.9,7175050.12,2010-10-30
