Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3I71,AGPE COOTRASUR FLORIDABLANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I73,AGPE BOLTEN BARRANQUILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3ICX,AGPE MGL INVERSIONES SAS II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ICZ,AGPE EVERARDO ARMENTA ALONSO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID2,AGPE EDS TAYRONA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID4,AGPE ROSANA CARRILLO MONSALVO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID6,AGPE SOFITEL CASA LOMA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIAC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3II2,AGPE JESUALDO MORELLI SOCARRAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II4,AGPE VASQUEZ LLINAS DESING SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II6,AGPE MI FUTURO DON CAMPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II8,AGPE CELMIRA GALVIS FAJARDO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIA,AGPE DISTRIBUIDORA Y COMERCIALIZADORA SALEM,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIC,AGPE YOLANDA BAUTE CASTRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIE,AGPE INVERSIONES LAS MARIAS SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIG,AGPE INVERSIONES LUJO SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
